#treeName,Method,logZ
sim--1112612613.msf,SMC4K2PBF,-20190.059695888667
sim--1371868184.msf,SMC4K2PBF,-18366.920905728635
sim--1426388226.msf,SMC4K2PBF,-19555.601104526973
sim--166143342.msf,SMC4K2PBF,-17687.974677227612
sim--806148852.msf,SMC4K2PBF,-18743.215046128847
sim--967935466.msf,SMC4K2PBF,-18252.6812888205
sim-1099644605.msf,SMC4K2PBF,-12118.861624416264
sim-1113420870.msf,SMC4K2PBF,-18562.04370591775
sim-1170777172.msf,SMC4K2PBF,-18775.159947869703
sim-1310890492.msf,SMC4K2PBF,-21542.016908858666
sim-1342693136.msf,SMC4K2PBF,-14776.434653959699
sim-1705468907.msf,SMC4K2PBF,-20583.597400139184
sim-1835442223.msf,SMC4K2PBF,-16538.16886531805
sim-1868405211.msf,SMC4K2PBF,-15839.39544673265
sim-1993194388.msf,SMC4K2PBF,-15310.81342680048
sim-43747016.msf,SMC4K2PBF,-20748.580363709345
sim-560289236.msf,SMC4K2PBF,-13830.808401180457
sim-599670096.msf,SMC4K2PBF,-17311.242145628752
sim-640775941.msf,SMC4K2PBF,-14840.444940915746
sim-658176143.msf,SMC4K2PBF,-19386.001012716886
