#Iter,treeSize,trans2tranv,LogLikelihood
1,12,2.0,-6368.666579317096
2,12,2.136392501615862,-4897.954802868251
3,12,2.136392501615862,-4798.828515085077
4,12,2.4348681502002054,-4788.654640312032
5,12,2.4348681502002054,-4748.8035685245195
6,12,2.4348681502002054,-4850.3917384573615
7,12,2.8277970627768707,-4831.219150741126
8,12,2.803711606044613,-4829.125996885314
9,12,3.0903717216489173,-4827.243432211886
10,12,3.3304207152343954,-4768.257616183631
11,12,3.9026669870321395,-4758.123522642597
12,12,3.9026669870321395,-4767.020633771198
13,12,4.434485892004435,-4678.708861455181
14,12,4.434485892004435,-4721.504672106246
15,12,4.434485892004435,-4695.031894907852
16,12,4.4977237806795225,-4749.367701561157
17,12,4.4977237806795225,-4736.008060238861
18,12,4.920195910306962,-4706.990883214885
19,12,4.920195910306962,-4716.683867749125
20,12,4.949659821387864,-4681.66028426778
21,12,4.949659821387864,-4695.480424525321
22,12,4.925500758476097,-4684.6024247190235
23,12,5.602259608890482,-4748.96083506007
24,12,5.602259608890482,-4699.902722094021
25,12,6.753793498223566,-4709.484196630201
26,12,7.530060358629157,-4613.415834236766
27,12,7.8665170642248174,-4731.681005886941
28,12,7.8665170642248174,-4733.67166542781
29,12,7.8665170642248174,-4679.110063167365
30,12,7.805865607668167,-4720.074886812345
31,12,7.805865607668167,-4718.929352938416
32,12,7.305882815078849,-4689.9310883823055
33,12,7.434434861313869,-4692.821708583855
34,12,8.151006946763813,-4693.52842269141
35,12,9.406251054528342,-4731.744775249264
36,12,8.451992865601488,-4707.458153962101
37,12,8.451992865601488,-4678.256761180819
38,12,8.889496087198925,-4654.431270668303
39,12,8.889496087198925,-4699.930146875897
40,12,8.889496087198925,-4704.336815349674
41,12,8.889496087198925,-4652.011992952314
42,12,7.826668565911052,-4726.362904090374
43,12,7.2759752675362375,-4704.322000401993
44,12,7.2759752675362375,-4726.986295821043
45,12,7.262881749708125,-4747.591447876435
46,12,6.978953341028479,-4665.833174239275
47,12,6.978953341028479,-4773.6287638884005
48,12,6.97282045020204,-4604.385818577657
49,12,6.97282045020204,-4682.119262378799
50,12,8.310579699098957,-4819.028682493836
51,12,8.304464605482112,-4664.457295278427
52,12,8.304464605482112,-4671.6623034718195
53,12,8.304464605482112,-4758.391391509334
54,12,8.757290259291063,-4697.471671068448
55,12,8.757290259291063,-4799.431729699292
56,12,7.919950795278349,-4653.073087285373
57,12,7.919950795278349,-4694.607091059483
58,12,7.919950795278349,-4788.269931279421
59,12,7.919950795278349,-4766.131255517457
60,12,7.919950795278349,-4630.552937377954
61,12,7.919950795278349,-4761.770659049025
62,12,8.046997283166451,-4733.258652853108
63,12,7.673936397737077,-4780.299701974096
64,12,7.8835553125263305,-4659.599679182216
65,12,8.497647438410677,-4655.377650000657
66,12,8.957175815840131,-4718.41142806332
67,12,9.116987930067802,-4644.617837026804
68,12,9.116987930067802,-4680.903311274422
69,12,9.116987930067802,-4716.713684649453
70,12,9.116987930067802,-4652.8111901390475
71,12,9.39136589081884,-4706.233187158075
72,12,9.39136589081884,-4717.184624681337
73,12,9.39136589081884,-4748.672207466756
74,12,7.7173978398440255,-4765.905304880724
75,12,9.482965735862546,-4674.5753323473145
76,12,10.466232675379857,-4684.165291721822
77,12,10.466232675379857,-4702.97187281215
78,12,9.302600967290749,-4706.986118944014
79,12,7.985166404401082,-4726.308817236859
80,12,8.85806245970199,-4722.030660161094
81,12,9.118749232284667,-4709.291568407154
82,12,9.118749232284667,-4754.38266004261
83,12,7.493970046691636,-4752.037725052762
84,12,7.493970046691636,-4618.555239189242
85,12,9.12896360156107,-4703.512482777229
86,12,8.892005729330853,-4719.263650764326
87,12,8.332180385573418,-4662.705147913561
88,12,8.332180385573418,-4710.654248966433
89,12,8.332180385573418,-4710.4595714136885
90,12,7.734051017219324,-4711.362219050487
91,12,6.609056403359505,-4718.845608513804
92,12,8.18778503074853,-4664.866969599612
93,12,8.18778503074853,-4626.607465265079
94,12,8.055014360401865,-4750.792515230369
95,12,8.055014360401865,-4724.293472895713
96,12,8.055014360401865,-4638.426386450827
97,12,8.055014360401865,-4693.167456857866
98,12,9.180283817466448,-4713.942724797034
99,12,9.597949545638912,-4754.422622934948
100,12,9.597949545638912,-4669.5186667083435
101,12,10.00214148841757,-4648.6312204607
102,12,9.598156617689208,-4719.962570492729
103,12,9.017906555505562,-4679.939504847202
104,12,9.407344530721675,-4703.72297984738
105,12,9.407344530721675,-4691.108604527918
106,12,9.524332156479051,-4689.054561569095
107,12,9.52625806501919,-4723.412406387199
108,12,8.983778377320217,-4614.565495515872
109,12,8.251903490175502,-4714.771397337663
110,12,6.685690020800218,-4803.470107134054
111,12,6.685690020800218,-4658.502241154949
112,12,6.685690020800218,-4721.750855641607
113,12,6.685690020800218,-4759.049348085677
114,12,7.026118281783764,-4765.490507874341
115,12,7.782889854772607,-4725.317559218827
116,12,8.927151197425983,-4717.05718290921
117,12,7.1611301858426195,-4678.954058745008
118,12,7.39566332001545,-4785.976488156801
119,12,9.127411074727492,-4708.454731085141
120,12,7.53168275739065,-4757.733956586018
121,12,7.53168275739065,-4732.353617222059
122,12,7.53168275739065,-4600.047661507032
123,12,9.059186891106103,-4681.859696569288
124,12,7.405310755227605,-4729.228087197618
125,12,7.782198043803294,-4655.620650711591
126,12,7.782198043803294,-4640.2447498854735
127,12,7.6339983953978265,-4690.681495745885
128,12,8.699303639664782,-4691.187832368238
