#treeName,Method,logZ
sim--1112612613.msf,SMC4K2P,-20179.836740296818
sim--1371868184.msf,SMC4K2P,-18348.028819856205
sim--1426388226.msf,SMC4K2P,-19526.68323750347
sim--166143342.msf,SMC4K2P,-17664.225379282885
sim--806148852.msf,SMC4K2P,-18728.97249913444
sim--967935466.msf,SMC4K2P,-18214.48657278964
sim-1099644605.msf,SMC4K2P,-12107.953506598526
sim-1113420870.msf,SMC4K2P,-18548.213321148636
sim-1170777172.msf,SMC4K2P,-18751.87390366959
sim-1310890492.msf,SMC4K2P,-21555.676708121
sim-1342693136.msf,SMC4K2P,-14767.5646495008
sim-1705468907.msf,SMC4K2P,-20562.58458121235
sim-1835442223.msf,SMC4K2P,-16513.50399931811
sim-1868405211.msf,SMC4K2P,-15820.82824593105
sim-1993194388.msf,SMC4K2P,-15297.19134041614
sim-43747016.msf,SMC4K2P,-20736.34954496733
sim-560289236.msf,SMC4K2P,-13830.09607071093
sim-599670096.msf,SMC4K2P,-17364.355702499655
sim-640775941.msf,SMC4K2P,-14820.144225720209
sim-658176143.msf,SMC4K2P,-19352.88233482253
