#treeName,Method,logZ
sim--1432205352.msf,SMC4K2PBF,-28849.851390056254
sim--1482614166.msf,SMC4K2PBF,-27699.950692891245
sim--1500177642.msf,SMC4K2PBF,-29339.58414216506
sim--1685487833.msf,SMC4K2PBF,-27384.109217876816
sim--369703984.msf,SMC4K2PBF,-27963.86297977197
sim--695187263.msf,SMC4K2PBF,-27201.020139148903
sim-1074741075.msf,SMC4K2PBF,-29969.06526176267
sim-1175567582.msf,SMC4K2PBF,-21516.09930432387
sim-1218015798.msf,SMC4K2PBF,-25614.137992148684
sim-1429578358.msf,SMC4K2PBF,-26560.64156059552
sim-1643173098.msf,SMC4K2PBF,-28416.592524820557
sim-1689014598.msf,SMC4K2PBF,-28707.90337407918
sim-1835442223.msf,SMC4K2PBF,-29856.996833257832
sim-1901964914.msf,SMC4K2PBF,-27662.378011768436
sim-2066892556.msf,SMC4K2PBF,-24499.68188208773
sim-2071916608.msf,SMC4K2PBF,-30741.410131171735
sim-263742048.msf,SMC4K2PBF,-29056.123645309533
sim-784070363.msf,SMC4K2PBF,-23990.504057152906
sim-795004326.msf,SMC4K2PBF,-22872.88337188615
sim-999994527.msf,SMC4K2PBF,-29021.084170017784
