#Iter,treeSize,trans2tranv,LogLikelihood
1,12,2.3322007196701486,-5877.349985730751
2,12,2.4743490871746614,-4831.243771771837
3,12,2.6130940951726402,-4741.715555063165
4,12,2.6130940951726402,-4765.793752781697
5,12,3.0650921005822624,-4746.457444711792
6,12,3.0650921005822624,-4767.616940634058
7,12,3.0650921005822624,-4699.802210261172
8,12,3.0650921005822624,-4775.477475906841
9,12,3.0841405058808484,-4713.675076544898
10,12,3.0841405058808484,-4715.535480508208
11,12,3.0841405058808484,-4742.748793739455
12,12,3.2056763044329264,-4842.41869657024
13,12,3.2056763044329264,-4778.669138920864
14,12,3.8141138171962377,-4691.192568608623
15,12,4.426297064774324,-4769.384017908675
16,12,4.426297064774324,-4682.341103594472
17,12,4.426297064774324,-4758.8870693907265
18,12,4.426297064774324,-4769.2020933541935
19,12,4.948890339186231,-4754.424561707023
20,12,5.105694518044071,-4734.560621654906
21,12,5.666467382512732,-4716.700295466138
22,12,6.170596195765506,-4748.80253794913
23,12,6.170596195765506,-4783.275599081013
24,12,7.663851885024475,-4717.47264516356
25,12,7.663851885024475,-4769.594124540303
26,12,7.1481891389765995,-4744.130586260141
27,12,7.1481891389765995,-4772.29048804406
28,12,7.996300636915869,-4723.244784242088
29,12,7.996300636915869,-4701.867698527396
30,12,7.996300636915869,-4652.1318765949845
31,12,9.618294355189187,-4695.289355332539
32,12,9.618294355189187,-4709.080762099217
33,12,7.877587394368041,-4713.714237254217
34,12,7.877587394368041,-4738.87359931555
35,12,7.877587394368041,-4735.717737009569
36,12,7.138090747465006,-4688.151022632535
37,12,7.138090747465006,-4625.972007783965
38,12,6.39208765753219,-4650.8716340596875
39,12,6.39208765753219,-4661.127097404427
40,12,7.143535075507878,-4652.594435759818
41,12,7.143535075507878,-4717.323877336845
42,12,7.143535075507878,-4638.6478150843495
43,12,8.60099878640655,-4719.597272460765
44,12,8.60099878640655,-4713.0017334794065
45,12,7.4052926320569235,-4654.37931100965
46,12,8.003359514365732,-4697.880005398691
47,12,9.436790886096679,-4691.091775685918
48,12,9.622105148984643,-4656.573038728748
49,12,8.308027854573696,-4710.937308043054
50,12,8.49626613220746,-4692.204262319221
51,12,8.774192061152188,-4652.836058047542
52,12,8.774192061152188,-4691.037810342152
53,12,8.774192061152188,-4711.405753898713
54,12,7.66552860799308,-4655.9592435395825
55,12,7.434520800665018,-4739.657760394384
56,12,7.434520800665018,-4599.012392652219
57,12,7.041583802043872,-4772.690473773178
58,12,8.197445397832432,-4735.038276954289
59,12,9.591922100379682,-4665.074338862363
60,12,9.385228080375832,-4642.147426849109
61,12,9.385228080375832,-4743.293818241424
62,12,8.365727025653362,-4780.556166944676
63,12,7.563828893924507,-4765.913713477843
64,12,7.563828893924507,-4703.605020388379
65,12,7.05028477463965,-4695.110208434749
66,12,7.05028477463965,-4776.228176661278
67,12,7.05028477463965,-4715.836381376181
68,12,7.05028477463965,-4687.932534748803
69,12,8.256600881525715,-4746.906943888387
70,12,7.869745501162553,-4715.7647002757585
71,12,7.2674411426989245,-4706.694961926729
72,12,7.896290907602667,-4759.469600314723
73,12,7.819218334630567,-4731.861879337697
74,12,7.819218334630567,-4703.830321328893
75,12,8.408196914704636,-4692.330601857539
76,12,8.408196914704636,-4687.230998639185
77,12,8.408196914704636,-4734.878439889704
78,12,8.853890942078165,-4647.423382758423
79,12,8.744380146427053,-4675.6325469014755
80,12,8.744380146427053,-4719.410282379179
81,12,7.421233527230062,-4730.186240436398
82,12,9.000202391151799,-4680.5437257283065
83,12,9.000202391151799,-4660.7451391800205
84,12,9.174458105473112,-4690.031253196865
85,12,8.621476343515766,-4816.605660062105
86,12,8.464504004699775,-4690.881606353978
87,12,8.464504004699775,-4745.51227073802
88,12,8.464504004699775,-4697.359442708319
89,12,8.464504004699775,-4750.914645906494
90,12,9.032439592499857,-4655.680124689221
91,12,8.63125246102758,-4736.928327569118
92,12,8.63125246102758,-4746.935270525573
93,12,8.355894789232007,-4682.844862452291
94,12,9.950150449573762,-4709.518389542503
95,12,9.950150449573762,-4733.312140177251
96,12,9.950150449573762,-4715.19984604493
97,12,8.637808025652044,-4667.5611031860535
98,12,7.291887924627305,-4698.744506283028
99,12,8.273897052642964,-4673.278627596976
100,12,8.273897052642964,-4648.6003691079095
101,12,8.273897052642964,-4682.374147174516
102,12,8.273897052642964,-4682.554380516462
103,12,8.027475868160852,-4684.02132070508
104,12,8.147958978522242,-4792.306404308336
105,12,8.43409998569112,-4719.718652220622
106,12,8.356820124937052,-4681.567740291107
107,12,8.356820124937052,-4717.413814021245
108,12,8.887960330952065,-4785.978674952441
109,12,8.887960330952065,-4715.491839695545
110,12,10.04690583966217,-4740.091949867794
111,12,9.27172896240019,-4759.793637882213
112,12,9.27172896240019,-4660.76987808612
113,12,9.27172896240019,-4759.775332993435
114,12,9.27172896240019,-4627.443568520597
115,12,8.646450706525137,-4634.577804132114
116,12,8.646450706525137,-4743.480246443723
117,12,7.198023483082791,-4747.606322196727
118,12,6.388005516170468,-4734.7455911329
119,12,7.626162962690892,-4697.006025644298
120,12,8.79873845004797,-4725.756228764038
121,12,7.920523164838592,-4695.4214853235935
122,12,7.682008986247218,-4686.845795792628
123,12,8.95039863313303,-4692.6755913350735
124,12,8.895431722624261,-4674.819532817219
125,12,8.915651932477727,-4710.339246452149
126,12,9.184581704861035,-4695.250015189443
127,12,9.184581704861035,-4720.173528381619
128,12,9.184581704861035,-4692.018464571098
129,12,8.017739957448745,-4671.529935169083
130,12,8.017739957448745,-4707.425617522649
131,12,8.017739957448745,-4718.91498791817
132,12,8.017739957448745,-4738.635454900057
133,12,8.017739957448745,-4685.7897132576345
134,12,7.372129114907319,-4635.643690158391
135,12,7.372129114907319,-4732.06785982853
136,12,8.557749465546065,-4624.984945679658
137,12,7.376845941110128,-4676.810989579431
138,12,7.769772519684867,-4794.074818410658
139,12,7.728701495056687,-4745.032069965453
140,12,7.4764055545126356,-4663.117879660867
141,12,8.209451143742161,-4647.001699273291
142,12,9.268180871192987,-4629.287670451171
143,12,8.527708188021947,-4775.138252858429
144,12,7.808604405606122,-4807.869916484187
145,12,7.808604405606122,-4791.772511284251
146,12,7.808604405606122,-4603.085756894414
147,12,9.062358124879502,-4656.369341799773
148,12,9.062358124879502,-4667.823338903124
149,12,9.062358124879502,-4702.028799491813
150,12,9.394896801054541,-4751.449169970712
151,12,7.724499075971854,-4715.838296135542
152,12,7.832345627462076,-4732.485226865387
153,12,7.832345627462076,-4753.878075721981
154,12,8.510406305132507,-4728.172747299694
155,12,8.510406305132507,-4665.991292419585
156,12,8.510406305132507,-4697.024415803484
157,12,7.867165669771568,-4784.7296265775185
158,12,8.818674241109749,-4676.903493904682
159,12,9.685417527365502,-4700.427299229468
160,12,8.358798944599721,-4732.008134468306
161,12,9.314229491674938,-4722.045833973038
162,12,9.314229491674938,-4662.4260119320825
163,12,9.314229491674938,-4724.841094872534
164,12,8.413077223440023,-4713.087335856668
165,12,8.413077223440023,-4675.287648797315
166,12,8.413077223440023,-4646.7045023395785
167,12,8.413077223440023,-4662.344120190087
168,12,8.413077223440023,-4703.972548915966
169,12,7.997565865795314,-4671.440696652215
170,12,8.637847364606696,-4721.417747803975
171,12,7.825371244441418,-4667.481645849097
172,12,7.825371244441418,-4690.091825896383
173,12,7.825371244441418,-4719.986706918424
174,12,7.825371244441418,-4680.047061459994
