#treeName,Method,logZ
sim--1077759944.msf,SMC4K2P,-34438.82752866731
sim--1214787956.msf,SMC4K2P,-41030.01674090414
sim--130937290.msf,SMC4K2P,-39952.77784760294
sim--1825302504.msf,SMC4K2P,-39263.129866431795
sim--519893856.msf,SMC4K2P,-36201.926807507334
sim--830436964.msf,SMC4K2P,-30432.023851219434
sim-1073347605.msf,SMC4K2P,-39883.54378637046
sim-1567190612.msf,SMC4K2P,-39049.527438023935
sim-1716832057.msf,SMC4K2P,-42617.76201876305
sim-1795143122.msf,SMC4K2P,-35020.451596058905
sim-1797838547.msf,SMC4K2P,-35059.45744461039
sim-1835442223.msf,SMC4K2P,-39454.41032794186
sim-1887969566.msf,SMC4K2P,-35948.29994222546
sim-1949751715.msf,SMC4K2P,-38185.518019368814
sim-2026003539.msf,SMC4K2P,-33992.273517521004
sim-2096462569.msf,SMC4K2P,-37261.33213252832
sim-382540742.msf,SMC4K2P,-31914.5366472626
sim-457072938.msf,SMC4K2P,-35001.75457567948
sim-889487414.msf,SMC4K2P,-34494.34462345044
sim-964320404.msf,SMC4K2P,-34467.239251768624
