#treeName,Method,logZ
sim--1112612613.msf,SMC4K2P,-20178.837834561353
sim--1371868184.msf,SMC4K2P,-18348.007172964608
sim--1426388226.msf,SMC4K2P,-19526.643258725642
sim--166143342.msf,SMC4K2P,-17663.804995128412
sim--806148852.msf,SMC4K2P,-18731.428209283633
sim--967935466.msf,SMC4K2P,-18212.772967392913
sim-1099644605.msf,SMC4K2P,-12106.663187370586
sim-1113420870.msf,SMC4K2P,-18546.604824126698
sim-1170777172.msf,SMC4K2P,-18749.546325238312
sim-1310890492.msf,SMC4K2P,-21554.31827367009
sim-1342693136.msf,SMC4K2P,-14761.154172652901
sim-1705468907.msf,SMC4K2P,-20562.665564219555
sim-1835442223.msf,SMC4K2P,-16515.36229629164
sim-1868405211.msf,SMC4K2P,-15819.489028965301
sim-1993194388.msf,SMC4K2P,-15284.712908767047
sim-43747016.msf,SMC4K2P,-20732.70271423317
sim-560289236.msf,SMC4K2P,-13814.991539645936
sim-599670096.msf,SMC4K2P,-17357.554059750037
sim-640775941.msf,SMC4K2P,-14818.785982071404
sim-658176143.msf,SMC4K2P,-19353.751203045205
