#Iter,treeSize,trans2tranv,LogLikelihood
1,12,2.0,-6852.1564528634735
2,12,2.0,-4850.046429553766
3,12,2.0,-4801.9829767023
4,12,2.214057895567712,-4857.445997677916
5,12,2.301342099137529,-4892.134767807376
6,12,2.301342099137529,-4861.310635292746
7,12,2.301342099137529,-4740.831061789815
8,12,2.39996009724519,-4850.51242380192
9,12,2.6197967347227222,-4834.678563528839
10,12,2.6197967347227222,-4702.444195721671
11,12,3.2476003303045484,-4838.747088134225
12,12,3.2476003303045484,-4815.161906832622
13,12,3.2476003303045484,-4763.218295886345
14,12,3.5484791261858537,-4781.196658063829
15,12,3.5484791261858537,-4740.766328010666
16,12,3.9718144478649577,-4819.957388258612
17,12,4.690652432507781,-4754.893346385716
18,12,4.690652432507781,-4720.2497390985845
19,12,4.690652432507781,-4788.095792456871
20,12,4.690652432507781,-4869.06818406419
21,12,4.604451471729209,-4820.2878239735
22,12,4.604451471729209,-4778.137764711722
23,12,4.604451471729209,-4806.720542694846
24,12,5.660864546987921,-4806.643495303265
25,12,6.298767599080635,-4732.389251880279
26,12,6.298767599080635,-4698.6763109043095
27,12,6.298767599080635,-4663.030204780438
28,12,7.366991731347637,-4728.793002161605
29,12,7.366991731347637,-4668.731524978632
30,12,7.366991731347637,-4736.1240547856305
31,12,9.173991789489257,-4762.641445227344
32,12,8.724463270935065,-4590.812745367778
33,12,7.176204444022559,-4767.19645954849
34,12,8.313537257862771,-4651.825801075265
35,12,8.143456566392846,-4740.784211189308
36,12,8.57549582445486,-4739.972131411198
37,12,8.57549582445486,-4703.789821431932
38,12,8.57549582445486,-4706.074235842612
39,12,8.57549582445486,-4687.414446358223
40,12,8.57549582445486,-4743.813420808929
41,12,8.57549582445486,-4658.003078057147
42,12,8.08383016351956,-4674.142870398241
43,12,7.372525243682978,-4753.123855935102
44,12,7.372525243682978,-4635.960827817769
45,12,8.827599839520964,-4750.788324093545
46,12,7.71401381423253,-4758.569477566334
47,12,7.71401381423253,-4775.306657042285
48,12,7.71401381423253,-4735.92369655967
49,12,7.71401381423253,-4717.414476263239
50,12,7.71401381423253,-4788.719437706717
51,12,7.279845574941416,-4809.855133305906
52,12,7.372866463853971,-4774.209539421912
53,12,7.0442089701872455,-4743.441270895952
54,12,8.67775951871729,-4785.822178856151
55,12,7.7803002205611005,-4674.866021024198
56,12,7.7803002205611005,-4717.861938730923
57,12,7.7803002205611005,-4747.999629839584
58,12,7.62714665210838,-4751.755479831192
59,12,7.752409141353905,-4703.802154951747
60,12,7.808874539613946,-4829.628881047971
61,12,7.808874539613946,-4790.276236478367
62,12,7.808874539613946,-4800.980303389775
63,12,7.808874539613946,-4764.27199238351
64,12,7.808874539613946,-4715.502152640309
