#treeName,Method,logZ
sim--1077759944.msf,SMC4K2P,-33107.23793977619
sim--1214787956.msf,SMC4K2P,-38112.70383295002
sim--130937290.msf,SMC4K2P,-38800.11085847438
sim--1825302504.msf,SMC4K2P,-37370.275170065426
sim--519893856.msf,SMC4K2P,-34428.405925811734
sim--830436964.msf,SMC4K2P,-29428.95639676058
sim-1073347605.msf,SMC4K2P,-38902.01197846972
sim-1567190612.msf,SMC4K2P,-38252.5533036152
sim-1716832057.msf,SMC4K2P,-41573.24951926898
sim-1795143122.msf,SMC4K2P,-34278.716053178876
sim-1797838547.msf,SMC4K2P,-33622.9804235554
sim-1835442223.msf,SMC4K2P,-37619.13277541702
sim-1887969566.msf,SMC4K2P,-34736.79211702417
sim-1949751715.msf,SMC4K2P,-36923.17437579931
sim-2026003539.msf,SMC4K2P,-32224.731163008026
sim-2096462569.msf,SMC4K2P,-36303.05062007998
sim-382540742.msf,SMC4K2P,-30763.914703868606
sim-457072938.msf,SMC4K2P,-32584.335335676973
sim-889487414.msf,SMC4K2P,-33220.71954183831
sim-964320404.msf,SMC4K2P,-33522.29152541619
