#treeName,Method,logZ
sim--1077759944.msf,SMC4K2PBF,-33586.38864331252
sim--1214787956.msf,SMC4K2PBF,-39587.596933587796
sim--130937290.msf,SMC4K2PBF,-40207.65675457594
sim--1825302504.msf,SMC4K2PBF,-38821.27700327942
sim--519893856.msf,SMC4K2PBF,-35125.842195193654
sim--830436964.msf,SMC4K2PBF,-29756.084872025524
sim-1073347605.msf,SMC4K2PBF,-40647.41923686519
sim-1567190612.msf,SMC4K2PBF,-39601.3075270023
sim-1716832057.msf,SMC4K2PBF,-41925.06820354758
sim-1795143122.msf,SMC4K2PBF,-35403.01698916618
sim-1797838547.msf,SMC4K2PBF,-34567.30432012257
sim-1835442223.msf,SMC4K2PBF,-39087.61659272385
sim-1887969566.msf,SMC4K2PBF,-35843.810438319924
sim-1949751715.msf,SMC4K2PBF,-37511.25543968762
sim-2026003539.msf,SMC4K2PBF,-32516.24918845295
sim-2096462569.msf,SMC4K2PBF,-36981.041913199326
sim-382540742.msf,SMC4K2PBF,-31768.405752384257
sim-457072938.msf,SMC4K2PBF,-33530.905347624845
sim-889487414.msf,SMC4K2PBF,-33778.35215658012
sim-964320404.msf,SMC4K2PBF,-33952.06883510279
