#treeName,Method,logZ
sim--1432205352.msf,SMC4K2P,-29253.763813135494
sim--1482614166.msf,SMC4K2P,-27839.223001246002
sim--1500177642.msf,SMC4K2P,-29183.82267787174
sim--1685487833.msf,SMC4K2P,-27666.57954733093
sim--369703984.msf,SMC4K2P,-28312.77618893682
sim--695187263.msf,SMC4K2P,-27181.301637775447
sim-1074741075.msf,SMC4K2P,-30221.65976714879
sim-1175567582.msf,SMC4K2P,-21969.153144866657
sim-1218015798.msf,SMC4K2P,-25939.220520808045
sim-1429578358.msf,SMC4K2P,-26969.09693999669
sim-1643173098.msf,SMC4K2P,-28838.62401405601
sim-1689014598.msf,SMC4K2P,-28926.627601250944
sim-1835442223.msf,SMC4K2P,-29851.75900095099
sim-1901964914.msf,SMC4K2P,-27934.40917218619
sim-2066892556.msf,SMC4K2P,-24482.719894692793
sim-2071916608.msf,SMC4K2P,-31034.57798051199
sim-263742048.msf,SMC4K2P,-29363.90996074286
sim-784070363.msf,SMC4K2P,-24737.13953456909
sim-795004326.msf,SMC4K2P,-22724.82171873271
sim-999994527.msf,SMC4K2P,-29471.968481864686
