#treeName,Method,logZ
sim--1112612613.msf,SMC4K2P,-20180.339675995514
sim--1371868184.msf,SMC4K2P,-18356.091588128165
sim--1426388226.msf,SMC4K2P,-19527.872818384196
sim--166143342.msf,SMC4K2P,-17667.385637008763
sim--806148852.msf,SMC4K2P,-18733.69391592999
sim--967935466.msf,SMC4K2P,-18218.274871970192
sim-1099644605.msf,SMC4K2P,-12138.957752368588
sim-1113420870.msf,SMC4K2P,-18547.426683656562
sim-1170777172.msf,SMC4K2P,-18752.686284562973
sim-1310890492.msf,SMC4K2P,-21556.152819266463
sim-1342693136.msf,SMC4K2P,-14778.328554701227
sim-1705468907.msf,SMC4K2P,-20586.50110156202
sim-1835442223.msf,SMC4K2P,-16517.78596676515
sim-1868405211.msf,SMC4K2P,-15819.226832520097
sim-1993194388.msf,SMC4K2P,-15298.573653816993
sim-43747016.msf,SMC4K2P,-20735.26928751722
sim-560289236.msf,SMC4K2P,-13827.520198236572
sim-599670096.msf,SMC4K2P,-17370.280584181222
sim-640775941.msf,SMC4K2P,-14820.232701318315
sim-658176143.msf,SMC4K2P,-19351.176310145038
