#Iter,treeSize,trans2tranv,rfDist,LogLikelihood
1,9,1.9268447293047197,0.21201970133152964,-7653.79768727802
2,9,2.337787185963569,0.0022512514347788892,-7635.620787243988
3,9,2.337787185963569,0.009245902751932933,-7635.657393454703
4,9,2.337787185963569,0.018278948673584733,-7636.184486159862
5,9,2.404216674159633,0.017630370758633745,-7633.855034857704
6,9,2.873440834557606,0.007418325031756878,-7627.544084655501
7,9,2.6780391269934927,0.021892376549519255,-7630.90579566795
8,9,2.835606480382426,0.0351450915216433,-7628.206335613561
9,9,2.8752798146347582,5.992743727275818E-4,-7627.982482390911
10,9,3.0788675411848376,0.01024366094149734,-7627.444198980642
11,9,3.0788675411848376,0.006510655960077716,-7627.643002380102
12,9,3.0788675411848376,0.026925001760094713,-7628.771346838292
13,9,3.0788675411848376,0.026333377729905766,-7627.609659487048
14,9,3.0788675411848376,0.02098021813581727,-7628.1816114715875
15,9,3.0788675411848376,0.004157089299334976,-7627.832793180381
16,9,3.0788675411848376,0.00721879097973685,-7627.482704472028
17,9,3.0788675411848376,0.002619628192522039,-7627.569752981934
18,9,3.0788675411848376,0.0024766212873030824,-7627.48621565582
19,9,2.913532295183683,0.017834613689749146,-7628.930771749695
20,9,2.913532295183683,0.01819593212357104,-7627.444490990764
21,9,2.913532295183683,3.3687345721178374E-4,-7627.453079359979
22,9,2.913532295183683,0.006252616817064377,-7627.753177234955
23,9,2.913532295183683,0.018598978408004008,-7627.728203502112
24,9,2.913532295183683,0.0065284451046386804,-7627.42455798628
25,9,2.913532295183683,0.007361562052531134,-7627.502707787326
26,9,2.913532295183683,0.013917821570369443,-7627.730343067056
27,9,3.1068077936607605,0.03593315014329604,-7629.824783240055
28,9,3.1068077936607605,0.032304924809499425,-7627.648004290734
29,9,3.1646653117324357,0.0011101277333046555,-7627.8475425764955
30,9,3.1351822788547046,0.045766923890953604,-7632.620348226634
31,9,3.1351822788547046,0.047233499141469765,-7627.773948154543
32,9,3.1351822788547046,0.01572037402498691,-7627.985364293821
33,9,3.1351822788547046,0.0016129374301382948,-7627.883618613176
34,9,2.821038205970773,0.016764373033886754,-7628.037462550681
35,9,3.299938752919211,0.0017465870892720003,-7628.853831269547
36,9,3.299938752919211,0.019385682779274355,-7629.194529302053
37,9,3.299938752919211,0.010309739496855735,-7628.673090126149
38,9,3.016208407546932,0.008081701724279272,-7627.459468324312
39,9,2.7140512744150898,0.013339756716633122,-7628.819655134573
40,9,2.7140512744150898,0.027701227934125355,-7630.3723423587
41,9,3.1916373053082374,0.026898399933405315,-7628.076279068242
42,9,3.1916373053082374,0.029225662671789415,-7630.334342950092
43,9,2.897690328278685,0.03809986220986386,-7628.328249102541
44,9,2.897690328278685,0.0024927843984924036,-7628.604402188344
45,9,2.897690328278685,0.0229209825988278,-7627.525373719803
46,9,3.088957462553827,0.004772096827826922,-7627.471589770185
47,9,2.648858399689675,0.00876391844509622,-7629.618095881591
48,9,3.0354065973972735,0.023519476723917854,-7630.592604770901
49,9,2.814382956166187,0.03887320493024726,-7627.958346506856
50,9,2.814382956166187,0.019804832182915094,-7628.460953013593
51,9,2.814382956166187,0.01460360484682141,-7627.80653659822
52,9,2.937957514329386,0.01754907245816356,-7628.285681910235
53,9,2.937957514329386,0.019726103486822355,-7627.400655304602
