#treeName,Method,logZ
sim--1432205352.msf,SMC4K2PBF,-29573.06748253432
sim--1482614166.msf,SMC4K2PBF,-28089.180172172768
sim--1500177642.msf,SMC4K2PBF,-29782.995084978294
sim--1685487833.msf,SMC4K2PBF,-27911.360155757728
sim--369703984.msf,SMC4K2PBF,-28485.320687135158
sim--695187263.msf,SMC4K2PBF,-27535.43003436653
sim-1074741075.msf,SMC4K2PBF,-30372.12763074423
sim-1175567582.msf,SMC4K2PBF,-21941.28332340606
sim-1218015798.msf,SMC4K2PBF,-26015.136165743374
sim-1429578358.msf,SMC4K2PBF,-27063.678232014758
sim-1643173098.msf,SMC4K2PBF,-28686.5426390685
sim-1689014598.msf,SMC4K2PBF,-29323.0623989208
sim-1835442223.msf,SMC4K2PBF,-30254.88728155711
sim-1901964914.msf,SMC4K2PBF,-27834.476102316476
sim-2066892556.msf,SMC4K2PBF,-24906.855130172728
sim-2071916608.msf,SMC4K2PBF,-31447.868427737478
sim-263742048.msf,SMC4K2PBF,-29572.727795136656
sim-784070363.msf,SMC4K2PBF,-24088.84929926542
sim-795004326.msf,SMC4K2PBF,-23244.11697658032
sim-999994527.msf,SMC4K2PBF,-29408.738455775594
