#treeName,Method,logZ
sim--1432205352.msf,SMC4K2P,-28637.280016059165
sim--1482614166.msf,SMC4K2P,-27363.221262944382
sim--1500177642.msf,SMC4K2P,-28873.318747070607
sim--1685487833.msf,SMC4K2P,-26977.84106023733
sim--369703984.msf,SMC4K2P,-27772.933066869307
sim--695187263.msf,SMC4K2P,-26729.380989077694
sim-1074741075.msf,SMC4K2P,-29683.963794985764
sim-1175567582.msf,SMC4K2P,-21247.921051840498
sim-1218015798.msf,SMC4K2P,-25362.233629485196
sim-1429578358.msf,SMC4K2P,-26204.817021761737
sim-1643173098.msf,SMC4K2P,-28104.49889428408
sim-1689014598.msf,SMC4K2P,-28456.317679293876
sim-1835442223.msf,SMC4K2P,-29463.675850742587
sim-1901964914.msf,SMC4K2P,-27289.848235595262
sim-2066892556.msf,SMC4K2P,-24241.559150457666
sim-2071916608.msf,SMC4K2P,-30325.657099124495
sim-263742048.msf,SMC4K2P,-28745.15925305699
sim-784070363.msf,SMC4K2P,-23683.381984942953
sim-795004326.msf,SMC4K2P,-22608.87569731879
sim-999994527.msf,SMC4K2P,-28851.623732091764
