#treeName,Method,logZ
sim--1432205352.msf,SMC4K2PBF,-28783.09310999446
sim--1482614166.msf,SMC4K2PBF,-27512.581215611004
sim--1500177642.msf,SMC4K2PBF,-28917.51608607945
sim--1685487833.msf,SMC4K2PBF,-27065.747777957822
sim--369703984.msf,SMC4K2PBF,-27959.507668331466
sim--695187263.msf,SMC4K2PBF,-26944.333769066252
sim-1074741075.msf,SMC4K2PBF,-29798.255658747566
sim-1175567582.msf,SMC4K2PBF,-21405.436398370482
sim-1218015798.msf,SMC4K2PBF,-25560.901712355997
sim-1429578358.msf,SMC4K2PBF,-26628.08825048128
sim-1643173098.msf,SMC4K2PBF,-28252.61253174228
sim-1689014598.msf,SMC4K2PBF,-28676.676541151843
sim-1835442223.msf,SMC4K2PBF,-29589.169677405822
sim-1901964914.msf,SMC4K2PBF,-27312.629492358777
sim-2066892556.msf,SMC4K2PBF,-24399.330776967014
sim-2071916608.msf,SMC4K2PBF,-30575.446818670935
sim-263742048.msf,SMC4K2PBF,-29010.18231121811
sim-784070363.msf,SMC4K2PBF,-23762.533261526914
sim-795004326.msf,SMC4K2PBF,-22698.893173999386
sim-999994527.msf,SMC4K2PBF,-28854.697956570708
