#Iter,treeSize,trans2tranv,LogLikelihood
1,9,2.0,-8644.421930661967
2,9,2.453113415279389,-5907.815290416104
3,9,2.453113415279389,-5843.9981076587865
4,9,2.8263592878665618,-6044.888433614248
5,9,2.8263592878665618,-5947.749114623281
6,9,2.8263592878665618,-5958.4382260558405
7,9,2.8263592878665618,-5858.489839064108
8,9,2.8263592878665618,-5642.061341910942
9,9,2.8263592878665618,-5766.509410862012
10,9,2.8263592878665618,-5747.657792396992
11,9,2.8263592878665618,-5799.300730842
12,9,2.8263592878665618,-5941.656287151727
13,9,3.1600593190302115,-5705.174079368871
14,9,3.1600593190302115,-5830.258876382935
15,9,3.9363373319678856,-5680.225750053168
16,9,3.585317279425072,-5879.54022904879
17,9,3.585317279425072,-5675.595827662028
18,9,3.585317279425072,-5612.502300634095
19,9,3.585317279425072,-5828.257789058793
20,9,3.585317279425072,-5786.010992228825
21,9,3.585317279425072,-5815.557459701716
22,9,3.585317279425072,-5808.748054886912
23,9,3.3579365120248044,-5786.553301696365
24,9,3.6971558013864843,-5896.165257268211
25,9,3.9296197367070365,-5816.537496535253
26,9,3.728012235023597,-5902.579451301817
27,9,3.3619356333025077,-5597.208969981311
28,9,4.107910644201857,-5678.62847951947
29,9,4.107910644201857,-5800.265111883432
30,9,4.107910644201857,-5816.323069918578
31,9,4.107910644201857,-5808.288702206644
32,9,4.107910644201857,-5781.301277988027
33,9,3.6337565840844577,-5799.607092585771
34,9,3.6337565840844577,-5870.840656796567
35,9,3.6337565840844577,-5859.4362393691645
36,9,3.2754121101323057,-5670.611815406012
37,9,3.2754121101323057,-5662.3630125263335
38,9,3.7138396070726287,-5619.0783427477145
39,9,3.7019210435865735,-5978.387438432162
40,9,4.361546229014866,-5827.185862468711
41,9,4.361546229014866,-5865.18331684269
42,9,3.580573259920789,-5790.920156184415
43,9,3.784653054729289,-5712.8259434907295
44,9,3.784653054729289,-5866.811154470549
45,9,3.784653054729289,-5862.058435291534
46,9,3.784653054729289,-5825.635680233085
47,9,3.784653054729289,-5729.552359972093
48,9,3.392329186541734,-5811.6776177310585
49,9,3.9174672139316757,-6002.942805399911
50,9,3.9174672139316757,-5737.323314245635
51,9,3.9174672139316757,-5687.712909298506
52,9,3.9174672139316757,-5804.817746280738
53,9,3.3048516243412105,-5821.697469370734
54,9,3.3048516243412105,-5844.026910328762
55,9,3.5465637157391363,-5800.640536116351
56,9,3.780531575970792,-5929.971105014659
57,9,3.537857116728533,-5765.721482231275
58,9,3.4801905116633725,-5863.690840254351
59,9,3.4801905116633725,-5871.635983847249
60,9,3.4801905116633725,-5612.072039524661
61,9,3.4801905116633725,-5782.257633491919
62,9,3.4932206934465926,-5786.775774933153
63,9,3.4932206934465926,-5745.965666304105
64,9,3.4467839156741236,-5778.6143918228445
