#treeName,Method,logZ
sim--1077759944.msf,SMC4K2PBF,-38403.37439982889
sim--1214787956.msf,SMC4K2PBF,-45026.083871885414
sim--130937290.msf,SMC4K2PBF,-45309.99468145618
sim--1825302504.msf,SMC4K2PBF,-47794.99659208967
sim--519893856.msf,SMC4K2PBF,-39787.650347827584
sim--830436964.msf,SMC4K2PBF,-33324.571411473924
sim-1073347605.msf,SMC4K2PBF,-44885.643144692
sim-1567190612.msf,SMC4K2PBF,-44973.095481695986
sim-1716832057.msf,SMC4K2PBF,-49745.00580282261
sim-1795143122.msf,SMC4K2PBF,-40442.02718871697
sim-1797838547.msf,SMC4K2PBF,-39957.07131751385
sim-1835442223.msf,SMC4K2PBF,-43887.14767976222
sim-1887969566.msf,SMC4K2PBF,-42523.52811237112
sim-1949751715.msf,SMC4K2PBF,-42779.27358501749
sim-2026003539.msf,SMC4K2PBF,-34554.529841410425
sim-2096462569.msf,SMC4K2PBF,-42400.39960217083
sim-382540742.msf,SMC4K2PBF,-35867.15587578469
sim-457072938.msf,SMC4K2PBF,-37867.44419121073
sim-889487414.msf,SMC4K2PBF,-42397.43460145884
sim-964320404.msf,SMC4K2PBF,-36860.07680712482
