#Iter,treeSize,trans2tranv,LogLikelihood
1,12,2.22318404524632,-6679.473896261659
2,12,2.2264295215803567,-4781.7447098310095
3,12,2.2264295215803567,-4790.183328218292
4,12,2.309190725210031,-4827.75293025744
5,12,2.309190725210031,-4809.638553203902
6,12,2.3182822856484795,-4832.242020475935
7,12,2.3182822856484795,-4776.267277221938
8,12,2.759671774278958,-4824.403637261317
9,12,2.78908520276393,-4817.725032654954
10,12,3.125210415610598,-4753.159048169409
11,12,3.869796323224602,-4811.160389861467
12,12,3.869796323224602,-4707.810600990206
13,12,3.869796323224602,-4817.854607602427
14,12,3.8760677524424536,-4704.901552690725
15,12,3.8760677524424536,-4764.778429283469
16,12,3.873338938081477,-4731.81181996568
17,12,4.799730180823407,-4726.461221061103
18,12,5.478686897315668,-4672.616545858033
19,12,5.478686897315668,-4775.209773608314
20,12,5.478686897315668,-4754.357830131867
21,12,5.56158357531679,-4673.534550114944
22,12,6.755976346728748,-4695.271366971934
23,12,6.755976346728748,-4764.278533273109
24,12,7.395036646425378,-4761.260481401161
25,12,9.036470105620676,-4642.165425536756
26,12,9.036470105620676,-4672.573520533564
27,12,7.941672388687873,-4716.641478630985
28,12,7.974380416359107,-4818.859128990458
29,12,7.974380416359107,-4684.158759377406
30,12,7.974380416359107,-4804.7374291925225
31,12,7.974380416359107,-4679.504129736188
32,12,8.767381426431381,-4698.685136820484
33,12,7.827807007692056,-4643.490852515953
34,12,7.827807007692056,-4685.569641271465
35,12,7.897396109820306,-4608.83191267465
36,12,7.83609294061408,-4668.213740217736
37,12,8.192487000151061,-4719.838026396599
38,12,9.429211624622347,-4695.277715656921
39,12,8.407867293113185,-4695.6768980425295
40,12,8.411077207474833,-4670.243424613089
41,12,8.411077207474833,-4670.55537297752
42,12,8.411077207474833,-4658.999841981318
43,12,8.411077207474833,-4683.912344152168
44,12,7.907069037153752,-4738.915924880319
45,12,7.907069037153752,-4634.512533659481
46,12,7.907069037153752,-4664.668869698572
47,12,8.17938912647202,-4705.266007843684
48,12,8.196027205839835,-4629.144710730072
49,12,8.196027205839835,-4794.5242802852035
50,12,7.445821612443988,-4644.040926479036
51,12,7.1993093069001475,-4684.837740540193
52,12,7.1993093069001475,-4705.525283330977
53,12,8.54160667200637,-4731.979528463384
54,12,8.54160667200637,-4731.179315069634
55,12,8.54160667200637,-4631.029027212975
56,12,8.54160667200637,-4661.7900336149105
57,12,8.54160667200637,-4699.852362667461
58,12,9.91909695245637,-4723.769455851319
59,12,9.91909695245637,-4655.567462374171
60,12,9.91909695245637,-4741.749180746567
61,12,8.510319206434142,-4716.470709917712
62,12,8.510319206434142,-4703.554534975638
63,12,8.510319206434142,-4682.520249844909
64,12,9.588992856565323,-4697.919005100783
65,12,9.743159698829972,-4603.996820561286
66,12,8.660356970389868,-4703.745157571846
67,12,7.064669818549819,-4721.09770750409
68,12,7.841759666180886,-4703.792356671298
69,12,9.356045072879736,-4676.5842593496345
70,12,8.66411999821014,-4731.379823860347
71,12,7.863615897560136,-4683.433590274896
72,12,7.863615897560136,-4773.287814203982
73,12,6.785668185110734,-4672.380191437141
74,12,6.785668185110734,-4728.9829379518105
75,12,6.785668185110734,-4701.0789610344145
76,12,6.785668185110734,-4726.166877214562
77,12,6.746453842990376,-4769.116698655505
78,12,6.746453842990376,-4755.4971283242485
79,12,6.126349222702521,-4761.2350300989
80,12,6.624011362907069,-4681.809318187647
81,12,6.397333748035762,-4731.106118129961
82,12,6.397333748035762,-4701.824489743755
83,12,6.121973930175321,-4722.461658968625
84,12,6.191396458345232,-4693.40266904527
85,12,7.388381159942621,-4612.614249277169
86,12,8.714561804851199,-4726.8755748663425
87,12,8.714561804851199,-4736.147353842234
88,12,7.9559639556058475,-4708.002378632724
89,12,9.379292430161106,-4695.490875901746
90,12,8.425529289015182,-4693.2247467884645
91,12,8.923428449029796,-4749.377523891471
92,12,8.923428449029796,-4694.313310246898
93,12,8.112355359388701,-4704.360748013441
94,12,8.792388834761567,-4672.620054215233
95,12,8.792388834761567,-4767.59957564833
96,12,9.046753657027152,-4721.256455610546
97,12,9.046753657027152,-4745.350995813054
98,12,9.046753657027152,-4699.266564689244
99,12,9.046753657027152,-4648.854550892909
100,12,9.046753657027152,-4717.309868485343
101,12,9.046753657027152,-4760.4249593691875
102,12,9.046753657027152,-4730.703124794054
103,12,9.046753657027152,-4726.220467885861
104,12,8.277884049127051,-4758.716106889722
105,12,8.514126270593724,-4757.1085901630795
106,12,8.514126270593724,-4660.518388567141
107,12,7.763995075025902,-4669.744461139139
108,12,9.611870316043408,-4695.388269413095
109,12,9.611870316043408,-4688.009200238977
110,12,8.14425498281102,-4765.891506374339
111,12,8.14425498281102,-4653.2988049016785
112,12,8.14425498281102,-4708.553959757574
113,12,7.919529053026202,-4693.704527919132
114,12,8.108917211061005,-4611.504582067053
115,12,6.648811693591111,-4634.308010220117
116,12,6.648811693591111,-4696.365942083218
117,12,7.660584691229455,-4740.338107640842
118,12,9.53725306416729,-4646.162576349642
119,12,10.199588118807124,-4683.2525649804975
120,12,10.729615591651589,-4688.591049695302
121,12,9.707080738178474,-4622.917333125819
122,12,9.707080738178474,-4657.340242613823
123,12,9.707080738178474,-4702.853393035808
124,12,8.881453891657618,-4636.821719785917
125,12,9.015471443293938,-4789.358406321935
126,12,9.272352269108369,-4746.745965937453
127,12,7.475415830522805,-4699.911911145486
128,12,7.554773618856043,-4665.866006038191
129,12,9.37155233364043,-4674.707357912253
130,12,9.37155233364043,-4778.124802699367
131,12,9.155141407996714,-4700.477702873353
132,12,9.016241318375089,-4659.420777529254
