#treeName,Method,logZ
sim--1077759944.msf,SMC4K2P,-33642.634087760765
sim--1214787956.msf,SMC4K2P,-38400.19247483367
sim--130937290.msf,SMC4K2P,-39018.677905503166
sim--1825302504.msf,SMC4K2P,-37468.81510524479
sim--519893856.msf,SMC4K2P,-34467.19428005311
sim--830436964.msf,SMC4K2P,-29815.73932472741
sim-1073347605.msf,SMC4K2P,-39177.0555124287
sim-1567190612.msf,SMC4K2P,-38669.50097687106
sim-1716832057.msf,SMC4K2P,-41797.49087527821
sim-1795143122.msf,SMC4K2P,-34456.02697492804
sim-1797838547.msf,SMC4K2P,-34038.859115731655
sim-1835442223.msf,SMC4K2P,-38305.935680190305
sim-1887969566.msf,SMC4K2P,-35051.45512095739
sim-1949751715.msf,SMC4K2P,-37138.30253268858
sim-2026003539.msf,SMC4K2P,-32284.304918470294
sim-2096462569.msf,SMC4K2P,-36702.573551220536
sim-382540742.msf,SMC4K2P,-31239.110700417084
sim-457072938.msf,SMC4K2P,-32856.64443442729
sim-889487414.msf,SMC4K2P,-33390.63141446528
sim-964320404.msf,SMC4K2P,-33155.634225047965
