#treeName,Method,logZ
sim--1432205352.msf,SMC4K2P,-28634.11183042949
sim--1482614166.msf,SMC4K2P,-27619.674591726256
sim--1500177642.msf,SMC4K2P,-28867.316074099344
sim--1685487833.msf,SMC4K2P,-26989.57266772253
sim--369703984.msf,SMC4K2P,-27762.030692679797
sim--695187263.msf,SMC4K2P,-26731.090129867014
sim-1074741075.msf,SMC4K2P,-29680.565251160628
sim-1175567582.msf,SMC4K2P,-21229.284432726465
sim-1218015798.msf,SMC4K2P,-25346.44068499829
sim-1429578358.msf,SMC4K2P,-26185.686073515753
sim-1643173098.msf,SMC4K2P,-28073.523786174985
sim-1689014598.msf,SMC4K2P,-28437.760155346525
sim-1835442223.msf,SMC4K2P,-29432.13946645841
sim-1901964914.msf,SMC4K2P,-27266.07710069151
sim-2066892556.msf,SMC4K2P,-24245.74197945675
sim-2071916608.msf,SMC4K2P,-30309.10228748368
sim-263742048.msf,SMC4K2P,-28674.593083517462
sim-784070363.msf,SMC4K2P,-23642.545302747814
sim-795004326.msf,SMC4K2P,-22611.46679734301
sim-999994527.msf,SMC4K2P,-28851.27296578084
