#treeName,Method,logZ
sim--1112612613.msf,SMC4K2PBF,-20224.73332122067
sim--1371868184.msf,SMC4K2PBF,-18475.55082287987
sim--1426388226.msf,SMC4K2PBF,-19792.999261902707
sim--166143342.msf,SMC4K2PBF,-17800.171802588782
sim--806148852.msf,SMC4K2PBF,-18801.412992077225
sim--967935466.msf,SMC4K2PBF,-18458.18620666051
sim-1099644605.msf,SMC4K2PBF,-12121.749299391799
sim-1113420870.msf,SMC4K2PBF,-18643.227041782975
sim-1170777172.msf,SMC4K2PBF,-18824.86496185497
sim-1310890492.msf,SMC4K2PBF,-21622.088629883754
sim-1342693136.msf,SMC4K2PBF,-14895.089675581306
sim-1705468907.msf,SMC4K2PBF,-20610.925108208896
sim-1835442223.msf,SMC4K2PBF,-16608.249707708554
sim-1868405211.msf,SMC4K2PBF,-15879.439910303314
sim-1993194388.msf,SMC4K2PBF,-15486.525574560816
sim-43747016.msf,SMC4K2PBF,-20994.64355564294
sim-560289236.msf,SMC4K2PBF,-13828.898378060667
sim-599670096.msf,SMC4K2PBF,-17469.071429009753
sim-640775941.msf,SMC4K2PBF,-15042.383077524828
sim-658176143.msf,SMC4K2PBF,-19572.027383611938
