#treeName,Method,logZ
sim--1432205352.msf,SMC4K2PBF,-30133.817773639796
sim--1482614166.msf,SMC4K2PBF,-30381.39572223688
sim--1500177642.msf,SMC4K2PBF,-30785.529608855955
sim--1685487833.msf,SMC4K2PBF,-28700.47731173021
sim--369703984.msf,SMC4K2PBF,-29301.822484724937
sim--695187263.msf,SMC4K2PBF,-28971.7229603082
sim-1074741075.msf,SMC4K2PBF,-31243.640460262013
sim-1175567582.msf,SMC4K2PBF,-22997.91413158958
sim-1218015798.msf,SMC4K2PBF,-26547.584662183544
sim-1429578358.msf,SMC4K2PBF,-27557.85350573954
sim-1643173098.msf,SMC4K2PBF,-29073.09208362837
sim-1689014598.msf,SMC4K2PBF,-29197.38741968224
sim-1835442223.msf,SMC4K2PBF,-30677.505176315666
sim-1901964914.msf,SMC4K2PBF,-28393.14565111724
sim-2066892556.msf,SMC4K2PBF,-25115.365694592663
sim-2071916608.msf,SMC4K2PBF,-32616.435442638147
sim-263742048.msf,SMC4K2PBF,-29923.103475504067
sim-784070363.msf,SMC4K2PBF,-25019.52091035239
sim-795004326.msf,SMC4K2PBF,-23305.299431351257
sim-999994527.msf,SMC4K2PBF,-30732.44932498793
