#treeName,Method,logZ
sim--1112612613.msf,SMC4K2PBF,-20188.53920231591
sim--1371868184.msf,SMC4K2PBF,-18363.17576290169
sim--1426388226.msf,SMC4K2PBF,-19554.411223226936
sim--166143342.msf,SMC4K2PBF,-17683.376030332773
sim--806148852.msf,SMC4K2PBF,-18744.857027298305
sim--967935466.msf,SMC4K2PBF,-18232.75463811395
sim-1099644605.msf,SMC4K2PBF,-12119.796168030749
sim-1113420870.msf,SMC4K2PBF,-18569.323493052838
sim-1170777172.msf,SMC4K2PBF,-18767.520960622696
sim-1310890492.msf,SMC4K2PBF,-21538.637077556763
sim-1342693136.msf,SMC4K2PBF,-14776.567413427403
sim-1705468907.msf,SMC4K2PBF,-20584.095388620786
sim-1835442223.msf,SMC4K2PBF,-16533.23041760819
sim-1868405211.msf,SMC4K2PBF,-15834.368402754048
sim-1993194388.msf,SMC4K2PBF,-15299.06282235255
sim-43747016.msf,SMC4K2PBF,-20750.182615314137
sim-560289236.msf,SMC4K2PBF,-13820.49488493627
sim-599670096.msf,SMC4K2PBF,-17303.873167172245
sim-640775941.msf,SMC4K2PBF,-14834.056322437169
sim-658176143.msf,SMC4K2PBF,-19374.788064792432
