#Iter,treeSize,trans2tranv,LogLikelihood
1,9,2.0516801591489155,-9526.811553796044
2,9,2.0516801591489155,-5786.58885430894
3,9,2.3177568780318842,-5954.534737802119
4,9,2.386642104688477,-5959.3780063624445
5,9,2.386642104688477,-6135.585452419235
6,9,2.386642104688477,-5902.298187375383
7,9,2.386642104688477,-5945.679547530185
8,9,2.386642104688477,-5945.549244350777
9,9,2.386642104688477,-5752.341928595288
10,9,2.386642104688477,-6144.585827155804
11,9,2.386642104688477,-6015.159977228269
12,9,2.386642104688477,-6085.931250926903
13,9,2.5644022740075627,-5797.564590323609
14,9,2.548809910130216,-5816.1064844760685
15,9,3.153990613565717,-5977.996486087998
16,9,3.2875713574980345,-5827.990001547185
17,9,3.7423085137022323,-5964.519099474802
18,9,3.5611428536617753,-5751.222812396322
19,9,3.5611428536617753,-5836.637838171276
20,9,3.128763283509902,-6055.780685884727
21,9,3.361754397042863,-5962.642060995378
22,9,3.2408941856039624,-5989.721452908823
23,9,3.2408941856039624,-6001.330502444229
24,9,3.2408941856039624,-5831.61944835113
25,9,3.2964304026108797,-5983.995182602702
26,9,3.2964304026108797,-5881.803580173809
27,9,3.806009389141251,-6068.2820055567845
28,9,3.806009389141251,-5882.648030702309
29,9,3.389356125276791,-5770.2743464526675
30,9,3.633015057411309,-5815.317380724563
31,9,3.633015057411309,-6018.969858623465
32,9,3.664002074588428,-5766.696027530837
33,9,3.488353478955186,-5942.414562834717
34,9,3.378111102107236,-5952.151807811646
35,9,3.378111102107236,-5727.423585705759
36,9,3.0161296259493287,-5696.188263831416
37,9,3.0161296259493287,-5956.030948852453
38,9,3.10056817186712,-5869.618208665338
39,9,3.678151574118865,-5694.397803051393
40,9,3.1917763996758444,-5784.36519111317
41,9,3.1917763996758444,-5899.293891162295
42,9,3.1917763996758444,-5968.15682273842
43,9,3.5161708538685024,-5924.191437851727
44,9,3.5161708538685024,-5924.49926012179
45,9,3.703747076045544,-6011.1928615947945
46,9,3.703747076045544,-5755.286126116978
47,9,3.703747076045544,-5809.860716204916
48,9,3.703747076045544,-5793.711039000065
49,9,3.703747076045544,-5970.484358385736
50,9,3.703747076045544,-5892.64893968991
51,9,3.703747076045544,-5950.645832576247
52,9,4.228177725824731,-5703.502529859493
53,9,3.5596215743255595,-5893.802439887406
54,9,3.3616035650619818,-6045.102911838258
55,9,3.3616035650619818,-5807.360056916843
56,9,3.9222014536743424,-5815.041268894243
57,9,3.8004797259244882,-5986.14986450372
58,9,3.6129240933119284,-5936.327503488326
59,9,3.78038142090368,-6001.870461762848
60,9,3.78038142090368,-5865.439785210123
61,9,3.78038142090368,-5731.092254811645
62,9,3.78038142090368,-5894.972868949679
63,9,3.78038142090368,-5870.04266857129
64,9,3.78038142090368,-5767.460941295471
65,9,3.775983017128367,-6156.705668309814
66,9,3.775983017128367,-5870.455860830998
67,9,3.5428021193591572,-5800.002552854171
68,9,3.5428021193591572,-5883.082186694071
69,9,3.5428021193591572,-5874.632496435692
70,9,3.5428021193591572,-5759.959107984574
71,9,3.5428021193591572,-5757.835592070139
72,9,3.598032732803529,-5858.16206423828
73,9,3.598032732803529,-6035.935348307221
74,9,3.598032732803529,-5789.158883248811
75,9,3.598032732803529,-6065.894624075623
76,9,3.709763715291303,-6016.487839953464
77,9,3.709763715291303,-5999.282836671223
78,9,3.4433280555952903,-5794.450581671835
79,9,3.4433280555952903,-5888.360191248331
80,9,3.4433280555952903,-5822.289631021501
81,9,3.4705949022283167,-5745.970988956107
82,9,3.8254618326503262,-5629.092052630271
83,9,3.664392939779243,-5772.708521551882
84,9,3.664392939779243,-5844.295854310462
85,9,3.664392939779243,-5756.948692143023
86,9,3.664392939779243,-5857.117254839387
87,9,3.7402482007385367,-5908.822671248632
88,9,3.7402482007385367,-5931.649731611012
89,9,3.7402482007385367,-5810.046189971238
90,9,3.7402482007385367,-5958.097426935777
91,9,3.8898108697663507,-5982.591092376167
92,9,3.2378301767729534,-5951.931397719394
93,9,3.7936127891568834,-5952.592480746598
94,9,3.7936127891568834,-6042.50550850721
95,9,3.7936127891568834,-5959.098624415893
96,9,3.7405672052440595,-5947.547510930024
97,9,3.7405672052440595,-5793.577372052274
98,9,3.9508509687101125,-5965.220677117949
99,9,3.4117660881777643,-5706.879797537391
100,9,3.4117660881777643,-5998.9017054096075
101,9,3.4117660881777643,-5839.25628074007
102,9,3.4117660881777643,-5786.981602728225
103,9,3.4117660881777643,-6063.71400957308
104,9,3.306822047935006,-6034.538845638055
105,9,3.978132027647029,-5803.761169246639
106,9,3.6243457050065713,-5960.4267961107225
107,9,3.5713569870688096,-6217.529979575747
108,9,3.5713569870688096,-5793.534089899425
109,9,3.4993160410023227,-5815.162987168419
110,9,3.4993160410023227,-5906.770880619147
111,9,3.619504266733164,-6118.891581925982
112,9,3.619504266733164,-5914.485101291562
113,9,3.619504266733164,-5904.6474577588315
114,9,3.619504266733164,-5796.925522602076
115,9,3.619504266733164,-5864.622656951095
116,9,3.4890738887334463,-5770.981889848944
117,9,3.4890738887334463,-6039.456526654631
118,9,3.4890738887334463,-5717.330807643141
119,9,3.826899198403599,-5907.054634111053
120,9,3.5309837385384344,-5610.780556730281
