#treeName,Method,logZ
sim--1112612613.msf,SMC4K2PBF,-20255.3518105882
sim--1371868184.msf,SMC4K2PBF,-18376.295021487997
sim--1426388226.msf,SMC4K2PBF,-19537.3174586046
sim--166143342.msf,SMC4K2PBF,-17704.60778412905
sim--806148852.msf,SMC4K2PBF,-18744.521835189968
sim--967935466.msf,SMC4K2PBF,-18231.568225643936
sim-1099644605.msf,SMC4K2PBF,-12283.93409767529
sim-1113420870.msf,SMC4K2PBF,-18619.220706716493
sim-1170777172.msf,SMC4K2PBF,-18766.10835733495
sim-1310890492.msf,SMC4K2PBF,-21554.832076024322
sim-1342693136.msf,SMC4K2PBF,-14784.140803164933
sim-1705468907.msf,SMC4K2PBF,-20608.052685231978
sim-1835442223.msf,SMC4K2PBF,-16524.719504184694
sim-1868405211.msf,SMC4K2PBF,-15835.540520743278
sim-1993194388.msf,SMC4K2PBF,-15375.593249435879
sim-43747016.msf,SMC4K2PBF,-20861.32232076154
sim-560289236.msf,SMC4K2PBF,-13888.374110985056
sim-599670096.msf,SMC4K2PBF,-17314.329574003066
sim-640775941.msf,SMC4K2PBF,-14880.140700195381
sim-658176143.msf,SMC4K2PBF,-19440.84230298804
