#treeName,Method,logZ
sim--1112612613.msf,SMC4K2P,-20179.03174216761
sim--1371868184.msf,SMC4K2P,-18347.852838801773
sim--1426388226.msf,SMC4K2P,-19525.630492831173
sim--166143342.msf,SMC4K2P,-17665.15104871447
sim--806148852.msf,SMC4K2P,-18731.060327290008
sim--967935466.msf,SMC4K2P,-18213.010254851422
sim-1099644605.msf,SMC4K2P,-12106.28386547742
sim-1113420870.msf,SMC4K2P,-18547.247991306784
sim-1170777172.msf,SMC4K2P,-18748.67319556921
sim-1310890492.msf,SMC4K2P,-21553.282664423892
sim-1342693136.msf,SMC4K2P,-14761.750984516804
sim-1705468907.msf,SMC4K2P,-20560.72582866726
sim-1835442223.msf,SMC4K2P,-16515.691764044077
sim-1868405211.msf,SMC4K2P,-15819.2314909867
sim-1993194388.msf,SMC4K2P,-15288.436192410762
sim-43747016.msf,SMC4K2P,-20733.653260914245
sim-560289236.msf,SMC4K2P,-13810.093529675842
sim-599670096.msf,SMC4K2P,-17346.427571056975
sim-640775941.msf,SMC4K2P,-14818.429584116773
sim-658176143.msf,SMC4K2P,-19352.874373411665
