"","#Method","IterScale","Repeat","Metric","Value","TreeName","Time","PGSExperiments.iterScalings","gen.nTaxa"
"52","SMC4K2P",45,0,"BestSampledLogLL",-5959.73903805133,"sim--274962161.msf",130756,45,40
"53","SMC4K2P",45,0,"PartitionMetric",6,"sim--274962161.msf",130756,45,40
"54","SMC4K2P",45,0,"RobinsonFouldsMetric",0.181075046138683,"sim--274962161.msf",130756,45,40
"55","SMC4K2P",45,0,"KuhnerFelsenstein",0.00090999696470042,"sim--274962161.msf",130756,45,40
"56","SMC4K2P",45,1,"ConsensusLogLL",-5966.17157989596,"sim--274962161.msf",135329,45,40
"57","SMC4K2P",45,1,"BestSampledLogLL",-5961.12576010155,"sim--274962161.msf",135329,45,40
"58","SMC4K2P",45,1,"PartitionMetric",4,"sim--274962161.msf",135329,45,40
"59","SMC4K2P",45,1,"RobinsonFouldsMetric",0.180765575764951,"sim--274962161.msf",135329,45,40
"60","SMC4K2P",45,1,"KuhnerFelsenstein",0.000816478246910751,"sim--274962161.msf",135329,45,40
"61","SMC4K2P",45,2,"ConsensusLogLL",-5962.94058650023,"sim--274962161.msf",130367,45,40
"62","SMC4K2P",45,2,"BestSampledLogLL",-5963.74754465999,"sim--274962161.msf",130367,45,40
"63","SMC4K2P",45,2,"PartitionMetric",6,"sim--274962161.msf",130367,45,40
"64","SMC4K2P",45,2,"RobinsonFouldsMetric",0.193959057478162,"sim--274962161.msf",130367,45,40
"65","SMC4K2P",45,2,"KuhnerFelsenstein",0.000960973634673247,"sim--274962161.msf",130367,45,40
"66","SMC4K2P",45,3,"ConsensusLogLL",-5961.77457080309,"sim--274962161.msf",137160,45,40
"67","SMC4K2P",45,3,"BestSampledLogLL",-5961.46897835023,"sim--274962161.msf",137160,45,40
"68","SMC4K2P",45,3,"PartitionMetric",6,"sim--274962161.msf",137160,45,40
"69","SMC4K2P",45,3,"RobinsonFouldsMetric",0.181366521792122,"sim--274962161.msf",137160,45,40
"70","SMC4K2P",45,3,"KuhnerFelsenstein",0.000890094607773908,"sim--274962161.msf",137160,45,40
"71","SMC4K2P",45,4,"ConsensusLogLL",-5968.15348735396,"sim--274962161.msf",131617,45,40
"72","SMC4K2P",45,4,"BestSampledLogLL",-5968.10877412226,"sim--274962161.msf",131617,45,40
"73","SMC4K2P",45,4,"PartitionMetric",8,"sim--274962161.msf",131617,45,40
"74","SMC4K2P",45,4,"RobinsonFouldsMetric",0.218740016367739,"sim--274962161.msf",131617,45,40
"75","SMC4K2P",45,4,"KuhnerFelsenstein",0.00146082305795668,"sim--274962161.msf",131617,45,40
"76","SMC4K2P",45,5,"ConsensusLogLL",-5962.39431561377,"sim--274962161.msf",122983,45,40
"77","SMC4K2P",45,5,"BestSampledLogLL",-5961.52131653982,"sim--274962161.msf",122983,45,40
"78","SMC4K2P",45,5,"PartitionMetric",6,"sim--274962161.msf",122983,45,40
"79","SMC4K2P",45,5,"RobinsonFouldsMetric",0.175152830933309,"sim--274962161.msf",122983,45,40
"80","SMC4K2P",45,5,"KuhnerFelsenstein",0.00086157124062712,"sim--274962161.msf",122983,45,40
"81","SMC4K2P",45,6,"ConsensusLogLL",-5963.778320226,"sim--274962161.msf",128331,45,40
"82","SMC4K2P",45,6,"BestSampledLogLL",-5960.48191041527,"sim--274962161.msf",128331,45,40
"83","SMC4K2P",45,6,"PartitionMetric",4,"sim--274962161.msf",128331,45,40
"84","SMC4K2P",45,6,"RobinsonFouldsMetric",0.183768479743535,"sim--274962161.msf",128331,45,40
"85","SMC4K2P",45,6,"KuhnerFelsenstein",0.00119803947835333,"sim--274962161.msf",128331,45,40
"86","SMC4K2P",45,7,"ConsensusLogLL",-5965.63708085928,"sim--274962161.msf",118933,45,40
"87","SMC4K2P",45,7,"BestSampledLogLL",-5964.42649000679,"sim--274962161.msf",118933,45,40
"88","SMC4K2P",45,7,"PartitionMetric",6,"sim--274962161.msf",118933,45,40
"89","SMC4K2P",45,7,"RobinsonFouldsMetric",0.17617505122451,"sim--274962161.msf",118933,45,40
"90","SMC4K2P",45,7,"KuhnerFelsenstein",0.000912483727720472,"sim--274962161.msf",118933,45,40
"91","SMC4K2P",45,8,"ConsensusLogLL",-5961.0688438226,"sim--274962161.msf",126094,45,40
"92","SMC4K2P",45,8,"BestSampledLogLL",-5959.25457290808,"sim--274962161.msf",126094,45,40
"93","SMC4K2P",45,8,"PartitionMetric",6,"sim--274962161.msf",126094,45,40
