"","#Method","IterScale","Repeat","Metric","Value","TreeName","Time","PGSExperiments.iterScalings","gen.nTaxa"
"50","SMC4K2PBF",30,9,"KuhnerFelsenstein",0.000863757957190701,"sim--1685082739.msf",351228,30,40
"51","SMC4K2PBF",30,0,"ConsensusLogLL",-5974.95107006815,"sim--274962161.msf",339039,30,40
"52","SMC4K2PBF",30,0,"BestSampledLogLL",-5973.48280306809,"sim--274962161.msf",339039,30,40
"53","SMC4K2PBF",30,0,"PartitionMetric",6,"sim--274962161.msf",339039,30,40
"54","SMC4K2PBF",30,0,"RobinsonFouldsMetric",0.161499754965654,"sim--274962161.msf",339039,30,40
"55","SMC4K2PBF",30,0,"KuhnerFelsenstein",0.000769361842289414,"sim--274962161.msf",339039,30,40
"56","SMC4K2PBF",30,1,"ConsensusLogLL",-5984.51504902452,"sim--274962161.msf",336947,30,40
"57","SMC4K2PBF",30,1,"BestSampledLogLL",-5983.7845020827,"sim--274962161.msf",336947,30,40
"58","SMC4K2PBF",30,1,"PartitionMetric",8,"sim--274962161.msf",336947,30,40
"59","SMC4K2PBF",30,1,"RobinsonFouldsMetric",0.174835292020657,"sim--274962161.msf",336947,30,40
"60","SMC4K2PBF",30,1,"KuhnerFelsenstein",0.000849079375834203,"sim--274962161.msf",336947,30,40
"61","SMC4K2PBF",30,2,"ConsensusLogLL",-5990.93660957736,"sim--274962161.msf",342310,30,40
"62","SMC4K2PBF",30,2,"BestSampledLogLL",-5986.88273066779,"sim--274962161.msf",342310,30,40
"63","SMC4K2PBF",30,2,"PartitionMetric",10,"sim--274962161.msf",342310,30,40
"64","SMC4K2PBF",30,2,"RobinsonFouldsMetric",0.206760141740356,"sim--274962161.msf",342310,30,40
"65","SMC4K2PBF",30,2,"KuhnerFelsenstein",0.00202723668769472,"sim--274962161.msf",342310,30,40
"66","SMC4K2PBF",30,3,"ConsensusLogLL",-5974.22493125194,"sim--274962161.msf",335455,30,40
"67","SMC4K2PBF",30,3,"BestSampledLogLL",-5974.68237734646,"sim--274962161.msf",335455,30,40
"68","SMC4K2PBF",30,3,"PartitionMetric",10,"sim--274962161.msf",335455,30,40
"69","SMC4K2PBF",30,3,"RobinsonFouldsMetric",0.177710106085298,"sim--274962161.msf",335455,30,40
"70","SMC4K2PBF",30,3,"KuhnerFelsenstein",0.000981704770487612,"sim--274962161.msf",335455,30,40
"71","SMC4K2PBF",30,4,"ConsensusLogLL",-5969.22706128083,"sim--274962161.msf",351423,30,40
"72","SMC4K2PBF",30,4,"BestSampledLogLL",-5969.32396154148,"sim--274962161.msf",351423,30,40
"73","SMC4K2PBF",30,4,"PartitionMetric",8,"sim--274962161.msf",351423,30,40
"74","SMC4K2PBF",30,4,"RobinsonFouldsMetric",0.137774478877889,"sim--274962161.msf",351423,30,40
"75","SMC4K2PBF",30,4,"KuhnerFelsenstein",0.000770993569052596,"sim--274962161.msf",351423,30,40
"76","SMC4K2PBF",30,5,"ConsensusLogLL",-6000.70116065743,"sim--274962161.msf",334825,30,40
"77","SMC4K2PBF",30,5,"BestSampledLogLL",-6000.70909781779,"sim--274962161.msf",334825,30,40
"78","SMC4K2PBF",30,5,"PartitionMetric",10,"sim--274962161.msf",334825,30,40
"79","SMC4K2PBF",30,5,"RobinsonFouldsMetric",0.192197420352226,"sim--274962161.msf",334825,30,40
"80","SMC4K2PBF",30,5,"KuhnerFelsenstein",0.00100245825463993,"sim--274962161.msf",334825,30,40
"81","SMC4K2PBF",30,6,"ConsensusLogLL",-6004.4686376935,"sim--274962161.msf",334584,30,40
"82","SMC4K2PBF",30,6,"BestSampledLogLL",-6005.14222019707,"sim--274962161.msf",334584,30,40
"83","SMC4K2PBF",30,6,"PartitionMetric",8,"sim--274962161.msf",334584,30,40
"84","SMC4K2PBF",30,6,"RobinsonFouldsMetric",0.172852993269119,"sim--274962161.msf",334584,30,40
"85","SMC4K2PBF",30,6,"KuhnerFelsenstein",0.000823116586490225,"sim--274962161.msf",334584,30,40
"86","SMC4K2PBF",30,7,"ConsensusLogLL",-5964.82656292937,"sim--274962161.msf",341446,30,40
"87","SMC4K2PBF",30,7,"BestSampledLogLL",-5966.09206687412,"sim--274962161.msf",341446,30,40
"88","SMC4K2PBF",30,7,"PartitionMetric",6,"sim--274962161.msf",341446,30,40
"89","SMC4K2PBF",30,7,"RobinsonFouldsMetric",0.17707973950707,"sim--274962161.msf",341446,30,40
"90","SMC4K2PBF",30,7,"KuhnerFelsenstein",0.000942922896242933,"sim--274962161.msf",341446,30,40
"91","SMC4K2PBF",30,8,"ConsensusLogLL",-5975.03139078359,"sim--274962161.msf",339534,30,40
"92","SMC4K2PBF",30,8,"BestSampledLogLL",-5975.1161379639,"sim--274962161.msf",339534,30,40
"93","SMC4K2PBF",30,8,"PartitionMetric",6,"sim--274962161.msf",339534,30,40
