#treeName,Method,logZ
sim--1077759944.msf,SMC4K2PBF,-35740.85616248427
sim--1214787956.msf,SMC4K2PBF,-41554.466443483136
sim--130937290.msf,SMC4K2PBF,-41489.29372558188
sim--1825302504.msf,SMC4K2PBF,-40145.21014901517
sim--519893856.msf,SMC4K2PBF,-37241.579634661866
sim--830436964.msf,SMC4K2PBF,-32546.298255232177
sim-1073347605.msf,SMC4K2PBF,-42268.631700724465
sim-1567190612.msf,SMC4K2PBF,-40888.26362552026
sim-1716832057.msf,SMC4K2PBF,-44600.40216215203
sim-1795143122.msf,SMC4K2PBF,-37430.78422455608
sim-1797838547.msf,SMC4K2PBF,-37894.13784934459
sim-1835442223.msf,SMC4K2PBF,-40594.41151235647
sim-1887969566.msf,SMC4K2PBF,-38182.82473083615
sim-1949751715.msf,SMC4K2PBF,-38541.56609947686
sim-2026003539.msf,SMC4K2PBF,-33839.89134775074
sim-2096462569.msf,SMC4K2PBF,-39398.85566312648
sim-382540742.msf,SMC4K2PBF,-33766.65200742756
sim-457072938.msf,SMC4K2PBF,-34533.37766832429
sim-889487414.msf,SMC4K2PBF,-36102.28299353323
sim-964320404.msf,SMC4K2PBF,-35788.2566007907
